"Time","Voltage","Excitation_Voltage","Ratio","Force (lbs)"
163.1197,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
163.1197,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.1596,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.1597,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
163.1597,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
163.1597,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
163.1996,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
163.1997,0.00399,14.93988,-5.736846942780774e-07,0.2912455150817233
163.1997,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
163.1998,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.2397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.2398,0.00399,14.95132,-7.78033580170652e-07,0.3949883848528151
163.2399,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
163.2399,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.2796,0.00399,14.94141,-6.010326982416598e-07,0.3051294195684095
163.2796,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.2797,0.004,14.95743,-2.184823527024479e-07,0.110918080931487
163.2797,0.004,14.94522,0,0
163.3195,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
163.3196,0.00401,14.94598,6.554665857823935e-07,-0.3327641565115865
163.3196,0.00399,14.93835,-5.463310882973809e-07,0.277358766589652
163.3196,0.004,14.95438,-1.639399281577855e-07,0.08322824243874818
163.3596,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.3596,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
163.3597,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
163.3597,0.00399,14.94293,-6.281964115665032e-07,0.3189197642607702
163.3996,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
163.3996,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
163.3997,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
163.3997,0.004,14.94522,0,0
163.4396,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
163.4397,0.00399,14.95285,-8.053397516433669e-07,0.4088510520196436
163.4397,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
163.4397,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
163.4796,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
163.4796,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
163.4797,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
163.4797,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.5196,0.00399,14.95132,-7.78033580170652e-07,0.3949883848528151
163.5197,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
163.5197,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
163.5197,0.00399,14.9559,-8.597569533962579e-07,0.4364773180014662
163.5595,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
163.5596,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
163.5596,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.5596,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
163.5996,0.004,14.95819,-2.320697901958329e-07,0.1178160865273683
163.5996,0.004,14.94522,0,0
163.5997,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
163.5997,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
163.6396,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
163.6396,0.004,14.95819,-2.320697901958329e-07,0.1178160865273683
163.6397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.6397,0.00399,14.94293,-6.281964115665032e-07,0.3189197642607702
163.6796,0.00401,14.95132,5.596409529140273e-07,-0.2841158553086064
163.6796,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
163.6797,0.00399,14.95438,-8.326403356638144e-07,0.4227108825752989
163.6797,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.7195,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
163.7196,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
163.7196,0.004,14.94522,0,0
163.7196,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.7596,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
163.7596,0.004,14.94522,0,0
163.7597,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
163.7597,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
163.7996,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
163.7997,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.7997,0.004,14.9353,1.777687425810618e-07,-0.09024878912553917
163.7997,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
163.8396,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
163.8396,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.8397,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
163.8397,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
163.8796,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
163.8796,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.8797,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
163.8797,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.9196,0.004,14.94522,0,0
163.9198,0.00399,14.95132,-7.78033580170652e-07,0.3949883848528151
163.9198,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
163.9198,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
163.9596,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.9596,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
163.9597,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
163.9597,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
163.9996,0.00399,14.95209,-7.917766002701887e-07,0.4019653758856767
163.9996,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
163.9996,0.00399,14.94903,-7.371531150961804e-07,0.3742343849184476
163.9997,0.00399,14.95285,-8.053397516433669e-07,0.4088510520196436
164.0396,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
164.0396,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
164.0397,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
164.0397,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
164.0796,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
